Size,Observed,Predicted,Trait
0.0124,0,0.54175,Probability
0.0124,0.499,0.54175,Probability
0.0124,0.6,0.54175,Probability
0.0124,0.716,0.54175,Probability
0.0124,0,0.54175,Probability
0.0124,0.667,0.54175,Probability
0.0124,0.754,0.54175,Probability
0.0124,0.907,0.54175,Probability
0.0138,0.874,0.74057,Probability
0.0138,0.9,0.74057,Probability
0.0138,0.86,0.74057,Probability
0.0138,0.922,0.74057,Probability
0.0169,1,0.74795,Probability
0.0169,1,0.74795,Probability
0.0169,0.993,0.74795,Probability
0.0169,0.996,0.74795,Probability
0.0031281905,0.668992,0.66282,Probability
0.0031281905,0.277497,0.66282,Probability
0.0131170572,0.926808,0.67343,Probability
0.0131170572,0.808402,0.67343,Probability
0.0131170572,0.883908,0.75562,Probability
0.0131170572,0.793868,0.75562,Probability
0.0181052437,0.893169,0.69137,Probability
0.0181052437,0.930863,0.69137,Probability
0.0181052437,0.95707,0.7759,Probability
0.0181052437,0.963527,0.7759,Probability
0.0131170572,1,0.75614,Probability
0.0131170572,1,0.75614,Probability
0.0181052437,0.889,0.77879,Probability
0.0181052437,0.871,0.77879,Probability
0.0131170572,0.5,0.82655,Probability
0.0131170572,1,0.82655,Probability
0.0181052437,0.938,0.80823,Probability
0.0181052437,1,0.80823,Probability
0.0015122416,0.0887,0.54994,Probability
0.0015122416,0.2149,0.54994,Probability
0.0015122416,0.1347,0.54994,Probability
0.0015122416,0.2189,0.54994,Probability
0.0063082748,0.383723,0.71016,Probability
0.0063082748,0.771735,0.71016,Probability
0.0181052437,1,1,Probability
0.0181052437,0.9,1,Probability
0.0181052437,0.857,0.71483,Probability
0.0181052437,1,0.71483,Probability
0.0181052437,0.818,0.69921,Probability
0.0181052437,0.929,0.69921,Probability
0.0181052437,0.938,0.63734,Probability
0.0181052437,1,0.63734,Probability
0.0181052437,1,0.78538,Probability
0.0181052437,1,0.78538,Probability
0.0131170572,0.917,0.69034,Probability
0.0131170572,0.857,0.69034,Probability
0.0131170572,0.929,0.67376,Probability
0.0131170572,0.611,0.67376,Probability
0.0131170572,0.833,0.61772,Probability
0.0131170572,0.867,0.61772,Probability
0.0131170572,0.929,0.79316,Probability
0.0131170572,0.767,0.79316,Probability
0.0131170572,0.9,1,Probability
0.0131170572,0.5,1,Probability
0.0109,0.921,1,Probability
0.0109,0.987,1,Probability
0.0109,1,1,Probability
0.0109,1,1,Probability
0.0291,1,0.81361,Probability
0.0291,1,0.81361,Probability
0.0291,1,0.81361,Probability
0.0291,1,0.81361,Probability
0.0109,0.56,1,Probability
0.0109,0.89,1,Probability
0.0109,1,1,Probability
