habitat,predator.species,predator.mass.kg,prey.species,prey.mass.kg,predation.trait,trait.value,trait.unit,references,meta.analysis
freshwater,Brachydanio rerio,0.00122086,Daphnia magna,1.29858e-07,attack.rate,4.78913360295452e-07,m3.s-1,Anderson_et_al.1978,Li_et_al.2018
freshwater,Brachydanio rerio,0.00122086,Daphnia magna,1.29858e-07,attack.rate,4.87114164256902e-07,m3.s-1,Anderson_et_al.1978,Li_et_al.2018
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,attack.rate,3e-08,m3.s-1,Bailey.1989,Li_et_al.2018
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,attack.rate,4.99999379000016e-08,m3.s-1,Bailey.1989,Li_et_al.2018
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,attack.rate,8.00000437760331e-08,m3.s-1,Bailey.1989,Li_et_al.2018
freshwater,Ranatra dispar,0.00150553,Anisops deanei,1.2674e-05,attack.rate,1.10000028116029e-07,m3.s-1,Bailey.1989,Li_et_al.2018
marine,Salvelinus namaycush,0.004025,Daphnia pullicaria,1.71891e-07,attack.rate,2.51985358802816e-07,m3.s-1,Barnhinsel_and_Kerfoot.2004,Li_et_al.2018
marine,Neomysis integer,9.1871e-06,Polyphemus pediculus,1.89581e-08,attack.rate,3.77778648179338e-07,m3.s-1,Bergstrom_and_Englund.2004,Li_et_al.2018
marine,Neomysis integer,9.1871e-06,Polyphemus pediculus,1.89581e-08,attack.rate,1.72222206722225e-07,m3.s-1,Bergstrom_and_Englund.2004,Li_et_al.2018
marine,Pomatomus saltatrix,0.140407,Menidia menidia,0.0100867,attack.rate,0.000196087485968028,m3.s-1,Buckel_and_Stoner.2000,Li_et_al.2018
marine,Pomatomus saltatrix,0.0259642,Menidia menidia,0.00200239,attack.rate,0.000411334040421896,m3.s-1,Buckel_and_Stoner.2000,Li_et_al.2018
marine,Pomatomus saltatrix,0.136734,Morone saxatilis,0.0103546,attack.rate,0.000403310264821186,m3.s-1,Buckel_and_Stoner.2000,Li_et_al.2018
marine,Pomatomus saltatrix,0.0299838,Morone saxatilis,0.00177724,attack.rate,0.000352473013183491,m3.s-1,Buckel_and_Stoner.2000,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,attack.rate,1.97917377385628e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,1.95856e-07,Ceriodaphnia dubia,3.775e-09,attack.rate,6.20368831456628e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,attack.rate,4.76851507603078e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,attack.rate,1.11111141319123e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,attack.rate,2.11805733091007e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,attack.rate,1.85185286162973e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,attack.rate,2.78935106246573e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Ceriodaphnia dubia,3.775e-09,attack.rate,2.18170622792967e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,attack.rate,4.54861232286148e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,attack.rate,6.37730696689539e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Ceriodaphnia dubia,3.775e-09,attack.rate,8.71528965740441e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Chydorus sphaericus,3.68766e-09,attack.rate,9.28238370392042e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Chydorus sphaericus,3.68766e-09,attack.rate,2.70832058229481e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Chydorus sphaericus,3.68766e-09,attack.rate,4.28241758241758e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,6.76984e-08,Chydorus sphaericus,3.68766e-09,attack.rate,9.31713478518211e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
freshwater,Piona exigua,3.82959e-07,Chydorus sphaericus,3.68766e-09,attack.rate,6.00695637714096e-09,m3.s-1,Butler_and_Burns.1993,Li_et_al.2018
