species.name,taxonomic.group,locomotion.mode,body.mass.kg,speed.m.s-1,references
Euphausia superba,arthropod,swimming,0.002,0.461111111111111,Hirt_et_al.2017
Aptenodytes forsteri,bird,swimming,29.75,3,Hirt_et_al.2017
Aptenodytes patagonicus,bird,swimming,14,3.36111111111111,Hirt_et_al.2017
Pygoscelis adeliae,bird,swimming,3.36,3.8,Hirt_et_al.2017
Pygoscelis antarcticus,bird,swimming,4.5,8.88888888888889,Hirt_et_al.2017
Pygoscelis papua,bird,swimming,8.2,10,Hirt_et_al.2017
Acanthocybium solandri,fish,swimming,13.31,21.5,Hirt_et_al.2017
Acanthocybium solandri,fish,swimming,16.64,21.3888888888889,Hirt_et_al.2017
Alburnus alburnus,fish,swimming,0.001,0.5,Hirt_et_al.2017
Alosa finita,fish,swimming,0.0297,0.75,Hirt_et_al.2017
Alosa pseudoharengus,fish,swimming,0.27,4.4,Hirt_et_al.2017
Anguilla anguilla,fish,swimming,2.16,1.13888888888889,Hirt_et_al.2017
Argyrosomus regius,fish,swimming,0.0295,1.13055555555556,Hirt_et_al.2017
Barbatula barbatula,fish,swimming,0.0177,1.08055555555556,Hirt_et_al.2017
Carassius auratus,fish,swimming,0.00343,0.75,Hirt_et_al.2017
Carassius auratus,fish,swimming,0.02,3,Hirt_et_al.2017
Carassius auratus,fish,swimming,0.276,2,Hirt_et_al.2017
Carassius leucas,fish,swimming,9.53,4.05277777777778,Hirt_et_al.2017
Carassius leucas,fish,swimming,40.07,5.21111111111111,Hirt_et_al.2017
Carcharodon carcharias,fish,swimming,800,11.1111111111111,Hirt_et_al.2017
Clupea harengus,fish,swimming,0.15625,1.7,Hirt_et_al.2017
Clupea harengus,fish,swimming,7.57e-05,0.139,Hirt_et_al.2017
Clupea harengus,fish,swimming,0.00013,0.152,Hirt_et_al.2017
Cottus gobio,fish,swimming,0.019,1.12,Hirt_et_al.2017
Cottus gobio,fish,swimming,0.0688,1.36666666666667,Hirt_et_al.2017
Cyprinus carpio,fish,swimming,0.0483,1.03333333333333,Hirt_et_al.2017
Cyprinus carpio,fish,swimming,0.3277,1.34166666666667,Hirt_et_al.2017
Cyprinus carpio,fish,swimming,0.0055,0.555555555555556,Hirt_et_al.2017
Cyprinus carpio,fish,swimming,0.087,1.7,Hirt_et_al.2017
Esox lucius,fish,swimming,0.145,2.1,Hirt_et_al.2017
Esox lucius,fish,swimming,1.18,1.48055555555556,Hirt_et_al.2017
Gadus morhua,fish,swimming,1.76,2.1,Hirt_et_al.2017
Gadus morhua,fish,swimming,2.18e-05,0.08,Hirt_et_al.2017
Galeocerdo cuvier,fish,swimming,550,8.88888888888889,Hirt_et_al.2017
Helicolenus dactylopterus,fish,swimming,0.493,0.980555555555556,Hirt_et_al.2017
Istiompax indica,fish,swimming,150,36.1111111111111,Hirt_et_al.2017
Istiophorus albicans,fish,swimming,90,30.5555555555556,Hirt_et_al.2017
Istiophorus albicans,fish,swimming,90,30,Hirt_et_al.2017
Isurus oxyrinchus,fish,swimming,105,18.8,Hirt_et_al.2017
Isurus oxyrinchus,fish,swimming,300,13.8888888888889,Hirt_et_al.2017
Leuciscus leuciscus,fish,swimming,0.01,1.3,Hirt_et_al.2017
Leuciscus leuciscus,fish,swimming,0.03375,1.75,Hirt_et_al.2017
Leuciscus leuciscus,fish,swimming,0.08,2.2,Hirt_et_al.2017
Leuciscus leuciscus,fish,swimming,0.279,2.4,Hirt_et_al.2017
Leuciscus leuciscus,fish,swimming,0.184,1.7,Hirt_et_al.2017
Makaira nigricans,fish,swimming,153.5,20.8333333333333,Hirt_et_al.2017
Melanogrammus aeglefinus,fish,swimming,0.741,1.8,Hirt_et_al.2017
Merlangius merlangus,fish,swimming,0.08,1.6,Hirt_et_al.2017
Merluccius merluccius,fish,swimming,0.0237,0.788888888888889,Hirt_et_al.2017
Micropterus salmoides,fish,swimming,0.276,0.880555555555556,Hirt_et_al.2017
Mugil cephalus,fish,swimming,0.026,0.611111111111111,Hirt_et_al.2017
Perca fluviatilis,fish,swimming,0.0184,0.661111111111111,Hirt_et_al.2017
Platichthys flesus,fish,swimming,1.21e-05,0.065,Hirt_et_al.2017
Pleuronectes platessa,fish,swimming,0.000357,0.064,Hirt_et_al.2017
Pleuronectes platessa,fish,swimming,0.000571,0.114,Hirt_et_al.2017
