Mass,Predicted,Observed,LogSize
0.002,0.56731,0.461111111111111,-3
29.75,3.379,3,1
14,2.9684,3.36111111111111,1
3.36,2.3153,3.8,1
4.5,2.4371,8.88888888888889,1
8.2,2.7059,10,1
13.31,2.9426,21.5,1
16.64,3.0581,21.3888888888889,1
0.001,0.49104,0.5,-3
0.0297,0.97175,0.75,-2
0.27,1.4723,4.4,-1
2.16,2.1417,1.13888888888889,0
0.0295,0.97048,1.13055555555556,-2
0.0177,0.87884,1.08055555555556,-2
0.00343,0.63362,0.75,-2
0.02,0.90004,3,-2
0.276,1.4783,2,-1
9.53,2.7774,4.05277777777778,1
40.07,3.5555,5.21111111111111,2
800,5.898,11.1111111111111,3
0.15625,1.3307,1.7,-1
7.57e-05,0.2795,0.139,-4
0.00013,0.3157,0.152,-4
0.019,0.89108,1.12,-2
0.0688,1.141,1.36666666666667,-1
0.0483,1.0668,1.03333333333333,-1
0.3277,1.5256,1.34166666666667,0
0.0055,0.69713,0.555555555555556,-2
0.087,1.1926,1.7,-1
0.145,1.3124,2.1,-1
1.18,1.9234,1.48055555555556,0
1.76,2.0654,2.1,0
2.18e-05,0.20929,0.08,-5
550,5.5383,8.88888888888889,3
0.493,1.6435,0.980555555555556,0
150,4.4492,36.1111111111111,2
90,4.0805,30.5555555555556,2
90,4.0805,30,2
105,4.1885,18.8,2
300,5.0014,13.8888888888889,2
0.01,0.78547,1.3,-2
0.03375,0.99598,1.75,-1
0.08,1.1739,2.2,-1
0.279,1.4812,2.4,-1
0.184,1.3717,1.7,-1
153.5,4.4666,20.8333333333333,2
0.741,1.7693,1.8,0
0.08,1.1739,1.6,-1
0.0237,0.93023,0.788888888888889,-2
0.276,1.4783,0.880555555555556,-1
0.026,0.94708,0.611111111111111,-2
0.0184,0.88552,0.661111111111111,-2
1.21e-05,0.18163,0.065,-5
0.000357,0.39418,0.064,-3
0.000571,0.43606,0.114,-3
0.15625,1.3307,1.28888888888889,-1
0.266,1.4683,2,-1
0.0057,0.70215,0.65,-2
0.1275,1.2813,1.39444444444444,-1
0.551,1.677,2.7,0
0.235,1.4352,1.7,-1
0.0023,0.58388,0.131111111111111,-3
0.0048,0.67827,0.166944444444444,-2
0.0078,0.74763,0.216111111111111,-2
6.66,2.6098,6,1
7.85,2.6855,4.87,1
0.12167,1.2701,2.34,-1
0.54872,1.6758,3.2,0
0.0341,0.99796,0.92,-1
0.0217,0.91444,1.26111111111111,-2
0.969,1.8567,3.5,0
0.0188,0.88925,1.14,-2
0.299,1.5001,1.3,-1
0.54872,1.6758,1.58888888888889,0
0.0252,0.94136,0.811111111111111,-2
4.5,2.4371,12.2222222222222,1
26.56,3.314,12.1916666666667,1
0.0015,0.53448,0.24,-3
163,4.5122,22.5,2
9.41,2.7713,20.8,1
13.11,2.9349,20.8333333333333,1
250,4.85,19.4444444444444,2
27.22,3.3279,19.6694444444444,1
0.0224,0.9201,0.4,-2
0.21,1.4057,1.31111111111111,-1
0.0165,0.86686,0.55,-2
98,4.1398,26.9444444444444,2
108400,13.392,10.3,5
1380,6.4625,6.11111111111111,3
118,4.2722,8,2
95.32,4.1204,10.3,2
30,3.3838,2.5,1
30000,10.81,7.5,4
30000,10.81,6.47222222222222,4
4100,7.7541,13.3333333333333,4
4300,7.816,6.94444444444444,4
4300,7.816,15.4,4
10100,9.0142,10.8333333333333,4
1378.5,6.4614,8,3
88.07,4.0655,8.33333333333333,2
250,4.85,9.72222222222222,2
250,4.85,8.19444444444444,2
158,4.4885,11.1111111111111,2
0.0143,0.84288,0.25,-2
0.6,1.7031,1.4,0
0.35,1.544,2,0
17,3.0694,11.1111111111111,1
0.25,1.4516,0.8,-1
420,5.2929,9.8,3
